Map,Safe prob,Delay prob,Number of agents,Number of goals,Instance,Algorithm,Runtime,Planner calls,Sum Of Cost
empty-32-32,0.8,0.1,10,30,16,IRC,4.99714,1,227
empty-32-32,0.8,0.1,10,30,17,RCbssEff,2.37542,1,205
empty-32-32,0.8,0.1,10,30,17,IDP,2.33638,1,205
empty-32-32,0.8,0.1,10,30,17,IRC,2.33703,1,236
empty-32-32,0.8,0.1,10,30,18,RCbssEff,2.44952,1,185
empty-32-32,0.8,0.1,10,30,18,IDP,2.45022,1,185
empty-32-32,0.8,0.1,10,30,18,IRC,2.47057,1,210
empty-32-32,0.8,0.1,10,30,19,RCbssEff,2.77759,1,198
empty-32-32,0.8,0.1,10,30,19,IDP,2.97392,1,198
empty-32-32,0.8,0.1,10,30,19,IRC,2.5148,1,216
empty-32-32,0.8,0.1,10,30,20,RCbssEff,2.74051,1,195
empty-32-32,0.8,0.1,10,30,20,IDP,2.75396,1,195
empty-32-32,0.8,0.1,10,30,20,IRC,2.97956,1,223
empty-32-32,0.8,0.1,10,40,1,RCbssEff,6.0507,1,200
empty-32-32,0.8,0.1,10,40,1,IDP,4.90721,1,200
empty-32-32,0.8,0.1,10,40,1,IRC,4.15223,1,220
empty-32-32,0.8,0.1,10,40,2,RCbssEff,4.1722,1,216
empty-32-32,0.8,0.1,10,40,2,IDP,4.19396,1,216
empty-32-32,0.8,0.1,10,40,2,IRC,4.17219,1,250
empty-32-32,0.8,0.1,10,40,3,RCbssEff,4.48324,1,233
empty-32-32,0.8,0.1,10,40,3,IDP,4.46252,1,233
empty-32-32,0.8,0.1,10,40,3,IRC,4.4559,1,262
empty-32-32,0.8,0.1,10,40,4,RCbssEff,4.12302,1,231
empty-32-32,0.8,0.1,10,40,4,IDP,4.32699,1,231
empty-32-32,0.8,0.1,10,40,4,IRC,4.08708,1,257
empty-32-32,0.8,0.1,10,40,5,RCbssEff,3.66508,1,221
empty-32-32,0.8,0.1,10,40,5,IDP,3.62605,1,221
empty-32-32,0.8,0.1,10,40,5,IRC,3.64037,1,252
empty-32-32,0.8,0.1,10,40,6,RCbssEff,4.33084,1,240
empty-32-32,0.8,0.1,10,40,6,IDP,4.22806,1,240
empty-32-32,0.8,0.1,10,40,6,IRC,4.24051,1,272
empty-32-32,0.8,0.1,10,40,7,RCbssEff,4.86529,1,237
empty-32-32,0.8,0.1,10,40,7,IDP,4.89305,1,237
empty-32-32,0.8,0.1,10,40,7,IRC,4.77907,1,271
empty-32-32,0.8,0.1,10,40,8,RCbssEff,4.29679,1,230
empty-32-32,0.8,0.1,10,40,8,IDP,4.2909,1,230
empty-32-32,0.8,0.1,10,40,8,IRC,4.27481,1,269
empty-32-32,0.8,0.1,10,40,9,RCbssEff,4.36021,1,229
empty-32-32,0.8,0.1,10,40,9,IDP,4.37569,1,229
empty-32-32,0.8,0.1,10,40,9,IRC,4.3436,1,266
empty-32-32,0.8,0.1,10,40,10,RCbssEff,4.17809,1,220
empty-32-32,0.8,0.1,10,40,10,IDP,4.01498,1,220
empty-32-32,0.8,0.1,10,40,10,IRC,3.93037,1,246
empty-32-32,0.8,0.1,10,40,11,RCbssEff,4.10651,1,227
empty-32-32,0.8,0.1,10,40,11,IDP,4.10105,1,227
empty-32-32,0.8,0.1,10,40,11,IRC,4.03597,1,257
empty-32-32,0.8,0.1,10,40,12,RCbssEff,4.44422,1,212
empty-32-32,0.8,0.1,10,40,12,IDP,4.42391,1,212
empty-32-32,0.8,0.1,10,40,12,IRC,4.45769,1,235
empty-32-32,0.8,0.1,10,40,13,RCbssEff,4.11147,1,235
empty-32-32,0.8,0.1,10,40,13,IDP,4.07332,1,235
empty-32-32,0.8,0.1,10,40,13,IRC,4.0404,1,270
empty-32-32,0.8,0.1,10,40,14,RCbssEff,4.22538,1,223
empty-32-32,0.8,0.1,10,40,14,IDP,4.26874,1,223
empty-32-32,0.8,0.1,10,40,14,IRC,4.20054,1,244
empty-32-32,0.8,0.1,10,40,15,RCbssEff,3.87123,1,205
empty-32-32,0.8,0.1,10,40,15,IDP,4.53489,1,205
empty-32-32,0.8,0.1,10,40,15,IRC,3.89966,1,228
empty-32-32,0.8,0.1,10,40,16,RCbssEff,3.95483,1,228
empty-32-32,0.8,0.1,10,40,16,IDP,3.98599,1,228
empty-32-32,0.8,0.1,10,40,16,IRC,3.94915,1,264
empty-32-32,0.8,0.1,10,40,17,RCbssEff,4.25551,1,239
empty-32-32,0.8,0.1,10,40,17,IDP,4.24228,1,239
empty-32-32,0.8,0.1,10,40,17,IRC,4.19387,1,277
empty-32-32,0.8,0.1,10,40,18,RCbssEff,4.07065,1,237
empty-32-32,0.8,0.1,10,40,18,IDP,4.06793,1,237
empty-32-32,0.8,0.1,10,40,18,IRC,4.55725,1,278
empty-32-32,0.8,0.1,10,40,19,RCbssEff,4.45218,1,239
empty-32-32,0.8,0.1,10,40,19,IDP,4.44683,1,239
empty-32-32,0.8,0.1,10,40,19,IRC,4.39303,1,269
empty-32-32,0.8,0.1,10,40,20,RCbssEff,3.91416,1,226
empty-32-32,0.8,0.1,10,40,20,IDP,3.91256,1,226
empty-32-32,0.8,0.1,10,40,20,IRC,3.89997,1,257
empty-32-32,0.8,0.1,10,50,1,RCbssEff,6.59763,1,246
empty-32-32,0.8,0.1,10,50,1,IDP,6.59893,1,246
empty-32-32,0.8,0.1,10,50,1,IRC,6.65569,1,275
empty-32-32,0.8,0.1,10,50,2,RCbssEff,6.35221,1,238
empty-32-32,0.8,0.1,10,50,2,IDP,6.30614,1,238
empty-32-32,0.8,0.1,10,50,2,IRC,6.52025,1,276
empty-32-32,0.8,0.1,10,50,3,RCbssEff,6.22425,1,277
empty-32-32,0.8,0.1,10,50,3,IDP,6.1799,1,277
empty-32-32,0.8,0.1,10,50,3,IRC,6.12931,1,314
empty-32-32,0.8,0.1,10,50,4,RCbssEff,5.9722,1,261
empty-32-32,0.8,0.1,10,50,4,IDP,5.8575,1,261
empty-32-32,0.8,0.1,10,50,4,IRC,5.8046,1,298
empty-32-32,0.8,0.1,10,50,5,RCbssEff,6.0209,1,266
empty-32-32,0.8,0.1,10,50,5,IDP,5.93823,1,266
empty-32-32,0.8,0.1,10,50,5,IRC,5.95504,1,295
empty-32-32,0.8,0.1,10,50,6,RCbssEff,5.95621,1,285
empty-32-32,0.8,0.1,10,50,6,IDP,5.94152,1,285
empty-32-32,0.8,0.1,10,50,6,IRC,5.95127,1,324
empty-32-32,0.8,0.1,10,50,7,RCbssEff,6.25911,1,264
empty-32-32,0.8,0.1,10,50,7,IDP,6.24498,1,264
empty-32-32,0.8,0.1,10,50,7,IRC,6.11943,1,303
empty-32-32,0.8,0.1,10,50,8,RCbssEff,6.29703,1,262
empty-32-32,0.8,0.1,10,50,8,IDP,6.24522,1,262
empty-32-32,0.8,0.1,10,50,8,IRC,6.39863,1,298
empty-32-32,0.8,0.1,10,50,9,RCbssEff,6.15821,1,283
empty-32-32,0.8,0.1,10,50,9,IDP,6.14459,1,283
empty-32-32,0.8,0.1,10,50,9,IRC,6.0693,1,316
empty-32-32,0.8,0.1,10,50,10,RCbssEff,5.89783,1,252
empty-32-32,0.8,0.1,10,50,10,IDP,5.95972,1,252
empty-32-32,0.8,0.1,10,50,10,IRC,5.87045,1,279
empty-32-32,0.8,0.1,10,50,11,RCbssEff,6.71743,1,265
empty-32-32,0.8,0.1,10,50,11,IDP,6.00055,1,265
empty-32-32,0.8,0.1,10,50,11,IRC,5.88167,1,295
empty-32-32,0.8,0.1,10,50,12,RCbssEff,6.32676,1,251
empty-32-32,0.8,0.1,10,50,12,IDP,6.30786,1,251
empty-32-32,0.8,0.1,10,50,12,IRC,6.29327,1,292
empty-32-32,0.8,0.1,10,50,13,RCbssEff,6.3818,1,264
empty-32-32,0.8,0.1,10,50,13,IDP,6.15996,1,264
empty-32-32,0.8,0.1,10,50,13,IRC,6.19335,1,297
empty-32-32,0.8,0.1,10,50,14,RCbssEff,6.62502,1,262
empty-32-32,0.8,0.1,10,50,14,IDP,6.6443,1,262
empty-32-32,0.8,0.1,10,50,14,IRC,6.53573,1,297
empty-32-32,0.8,0.1,10,50,15,RCbssEff,5.68284,1,268
empty-32-32,0.8,0.1,10,50,15,IDP,6.07391,1,268
empty-32-32,0.8,0.1,10,50,15,IRC,6.53882,1,303
empty-32-32,0.8,0.1,10,50,16,RCbssEff,5.80468,1,266
empty-32-32,0.8,0.1,10,50,16,IDP,5.84359,1,266
empty-32-32,0.8,0.1,10,50,16,IRC,6.56076,1,293
empty-32-32,0.8,0.1,10,50,17,RCbssEff,6.96965,1,271
empty-32-32,0.8,0.1,10,50,17,IDP,6.47433,1,271
empty-32-32,0.8,0.1,10,50,17,IRC,6.43696,1,304
empty-32-32,0.8,0.1,10,50,18,RCbssEff,6.62028,1,267
empty-32-32,0.8,0.1,10,50,18,IDP,5.76736,1,267
empty-32-32,0.8,0.1,10,50,18,IRC,5.77707,1,311
